date,location,category,title,source_url
01/26/2026,"Phoenix, AZ",Concerning Use of Force,Video: ICE drive-by pepper-sprays protesters while leaving Zipps raid - Phoenix New Times,https://www.phoenixnewtimes.com/news/video-phoenix-protesters-pepper-sprayed-after-ice-zipps-raid-40640147/
01/25/2026,"San Antonio, TX","Concerning Arrest/Detention, Concerning Use of Force",We have rights': San Antonio couple speaks out after ICE arrest leaves family traumatized - Fox San Antonio,https://foxsanantonio.com/newsletter-daily/we-have-rights-us-resident-detained-in-ice-traffic-stop?teaserSource=trending
01/24/2026,"Minneapolis, MN","Concerning Use of Force, U.S. Citizen","Man shot and killed by federal agents in Minneapolis this morning, police chief says - The Minnesota Star Tribune",https://www.startribune.com/ice-raids-minnesota/601546426
01/23/2026,"Cincinnati, OH",Concerning Arrest/Detention,"ICE jails one-time Venezuelan mayor, living in Cincinnati since 2022 - The Columbus Dispatch",https://www.dispatch.com/story/news/politics/2026/01/26/ice-detains-former-venezuelan-mayor-in-butler-county/88353263007/
01/23/2026,"Portland, OR",,"Asylum seeker detained by ICE on Friday had no criminal history in Maine, attorney says - Portland Press Herald",https://www.pressherald.com/2026/01/26/asylum-seeker-detained-by-ice-on-friday-had-no-criminal-history-in-maine-attorney-says/
01/23/2026,"Orlando, FL","Concerning Arrest/Detention, Concerning Use of Force",Manhandled': Protester arrested outside Orlando ICE facility after 'touching vehicle' - CBS12,https://cbs12.com/news/local/manhandled-protester-arrested-outside-orlando-ice-facility-for-touching-vehicle-wesh-ice-immigration-florida-florida-highway-patrol-january-24-2026
01/23/2026,"Tucson, AZ","Enforcement Action at a Sensitive Location, Concerning Arrest/Detention",ICE ratchets up enforcement in Tucson - Arizona Daily Star,https://tucson.com/news/local/border/article_7ca5ee34-53c0-4e2f-8ee2-f641322715b8.html
01/22/2026,"Portland , ME","Concerning Use of Force, Concerning Arrest/Detention","Masked agents detain civil engineer in Portland, leave his car running in the street with a smashed window - Portland Press Herald",https://www.pressherald.com/2026/01/23/masked-agents-detain-civil-engineer-in-portland-leave-his-car-running-in-the-street-with-a-smashed-window/
01/22/2026,"Minneapolis, MN","Concerning Arrest/Detention, Concerning Use of Force",ICE flew 2-year-old to Texas despite court order to release her from custody - KSTP,https://kstp.com/kstp-news/top-news/ice-flew-2-year-old-to-texas-despite-court-order-to-release-her-from-custody/
01/22/2026,"Phoenix, AZ",Concerning Use of Force,US citizen detained by ICE amid multiple brawls at Phoenix protest - USA Today,https://www.usatoday.com/story/news/politics/immigration/2026/01/24/emily-despain-detained-ice-phoenix-protest/88324706007/
01/21/2026,"Portland, OR",Concerning Arrest/Detention,Cumberland County sheriff: ICE arrest of corrections officer was ‘bush league’ - Portland Press Herald,https://www.pressherald.com/2026/01/22/cumberland-county-corrections-officers-ice-arrest-prompts-criticism-from-sheriff/
01/21/2026,"Scarborough, ME",Concerning Arrest/Detention,Judge asks why Maine immigrant was detained at routine check-in - The Maine Monitor,https://themainemonitor.org/judge-orders-explanation-ice-detention-maine-immigrant/
01/21/2026,"Minneapolis, MN","Concerning Arrest/Detention, Concerning Use of Force, U.S. Citizen",Federal agents detain two teenagers in Minneapolis - MPR News,https://www.mprnews.org/story/2026/01/21/customs-and-border-protection-officers-detain-two-teenagers-in-minneapolis
01/21/2026,"Portland, ME",Concerning Arrest/Detention,Mother of 4 detained in Portland as immigration enforcement ramps up in Maine - News Center Maine,https://www.newscentermaine.com/article/news/local/maine-immigration/mother-of-4-detained-portland-immigration-enforcement-ice-maine/97-62423a40-6e72-46dd-80ab-14b699d97ab9
01/20/2026,"Minneapolis, MN",Concerning Use of Force,Greg Bovino seen throwing gas at protestors in Minneapolis - NBC News,https://www.nbcnews.com/video/greg-bovino-seen-throwing-gas-at-protestors-in-minneapolis-256362565524
01/20/2026,"Westbrook, ME",Concerning Arrest/Detention,ICE detains 18-year-old USM student in Westbrook - Portland Press Herald,https://www.pressherald.com/2026/01/21/ice-detains-18-year-old-usm-student-in-westbrook/
01/20/2026,"Columbia Heights, MN","Enforcement Action at a Sensitive Location, Concerning Arrest/Detention","ICE Detains Four Children From Minnesota School District, School Officials Say - U.S. News",https://www.usnews.com/news/world/articles/2026-01-22/ice-detains-four-children-from-minnesota-school-district-school-officials-say
01/20/2026,"Long Beach, CA","Concerning Use of Force, Concerning Arrest/Detention, U.S. Citizen",Immigration agents chase down gardeners working on lawns in East Long Beach - Long Beach Post,https://lbpost.com/news/immigration/ice-immigration-agents-east-long-beach-gardners-border-patrol
01/20/2026,"Columbia Heights, MN",Concerning Arrest/Detention,"ICE takes 5-year-old boy and his father after using boy to get father to answer front door, school district says - CBS News",https://www.cbsnews.com/minnesota/news/minnesota-school-children-ice-arrests-columbia-heights/
01/20/2026,"Portland, ME",Concerning Arrest/Detention,ICE Detains Husband With Processing Green-Card Petition—US Citizen Wife - Newsweek,https://www.newsweek.com/ice-detains-husband-with-processing-green-card-petition-us-citizen-wife-11410467
01/20/2026,"Minneapolis, MN","Concerning Use of Force, U.S. Citizen, Concerning Arrest/Detention",Local cops among those targeted by immigration agents in Minnesota - USA Today,https://www.usatoday.com/story/news/nation/2026/01/20/immigration-agents-minnesota-police-officer/88268058007/
01/19/2026,"St. Paul, MN",Concerning Use of Force,Video shows ICE agent entering Twin Cities restaurant with gun drawn - USA Today,https://www.usatoday.com/story/news/nation/2026/01/21/federal-agent-enters-restaurant-gun-drawn-st-paul/88290242007/
01/18/2026,"St Paul, MN","Concerning Use of Force, Concerning Arrest/Detention",US citizen says ICE detained him in underwear in frigid cold with no warrant | AP News,https://apnews.com/article/minnesota-immigration-us-citizen-detained-hmong-d009590a491c0c8243ef21ef24db7182
01/16/2026,"Portland, OR","Concerning Arrest/Detention, Enforcement Action at a Sensitive Location",Gresham family detained by immigration officers while seeking medical care for their 7-year-old - OPB,https://www.opb.org/article/2026/01/23/gresham-family-seeking-medical-care-child-detained-immigration-officers/
01/16/2026,"Los Angeles, CA",Concerning Arrest/Detention,"ICE 'wrongfully detained' L.A. County D.A.'s office employee, Hochman says - Los Angeles Times",https://www.latimes.com/california/story/2026-01-17/ice-wrongfully-detained-la-county-d-a-s-office-employee-hochman-says
01/15/2026,"Kyle, TX",Concerning Use of Force,"ICE detains, injures one person in Kyle, Texas - KUT News",https://www.kut.org/austin/2026-01-16/kyle-buda-tx-ice-activity-detains-injures-shopper
01/15/2026,"Mounds View, MN","Concerning Arrest/Detention, Enforcement Action at a Sensitive Location",ICE agents detain Mounds View couple en route to ER - Sahan Journal,https://sahanjournal.com/health/ice-detains-mounds-view-couple/
01/15/2026,"Minneapolis, MN","Concerning Use of Force, U.S. Citizen",Couple Says ICE Agents Gassed Them as They Drove With 6 Children - The New York Times,https://www.nytimes.com/2026/01/15/us/minneapolis-couple-ice-tear-gas-6-children.html
01/15/2026,"Minneapolis, MN","Concerning Use of Force, Concerning Arrest/Detention",‘The World Needs To See It’: The Moment A Photographer Saved A Camera From ICE - HuffPo,https://www.huffpost.com/entry/john-abernathy-photos-ice-minnesota_n_696c2c6ce4b043a364235a53
01/14/2026,"St. Paul, MN","Concerning Arrest/Detention, Concerning Use of Force, U.S. Citizen","St. Paul woman, a U.S. citizen, recounts her two days in ICE detention – Twin Cities",https://www.twincities.com/2026/01/18/st-paul-woman-a-u-s-citizen-recounts-her-two-days-in-detention/
01/14/2026,"Robbinsdale, MN",Concerning Arrest/Detention,Northport Elementary parent reportedly arrested by ICE while waiting with child for the bus - KSTP.com 5 Eyewitness News,https://kstp.com/kstp-news/local-news/northport-elementary-parent-reportedly-arrested-by-ice-while-waiting-with-child-for-the-bus/
01/13/2026,"St. Paul, MN","Concerning Arrest/Detention, Concerning Use of Force",They ‘Had Done Everything Right.’ ICE Detained Them Anyway. - NYT,https://www.nytimes.com/2026/01/26/us/politics/ice-minnesota-refugees.html
01/13/2026,"St. Paul, MN",Concerning Arrest/Detention,They ‘Had Done Everything Right.’ ICE Detained Them Anyway. - NYT,https://www.nytimes.com/2026/01/26/us/politics/ice-minnesota-refugees.html
01/13/2026,"Minneapolis, MN","Concerning Arrest/Detention, Concerning Use of Force, U.S. Citizen",Army vet detained by ICE for 8 hours says he wasn't allowed to call an attorney - ABC News,https://abcnews.go.com/US/army-vet-detained-ice-8-hours-allowed-call/story?utm_sf_cserv_ref=28785486&id=129379081&cid=social_twitter_abcn&utm_sf_post_ref=658138659
"Concerning Use of Force, Concerning Arrest/Detention",Unknown,"Minneapolis, MN",ICE Violently Arrests Woman Trying to Pass Them to Get to the Doctor - The New Republic,https://newrepublic.com/post/205252/ice-arrests-minneapolis-woman-car-doctor
01/12/2026,"Vancouver, WA","Concerning Arrest/Detention, Enforcement Action at a Sensitive Location",ICE detains man outside Vancouver courthouse during trial break - Fox12 Oregon,https://www.kptv.com/2026/01/17/ice-detains-man-outside-vancouver-courthouse-during-trial-break/
